collegeName,aliasName,state,city,photo,rank,ACT,aidPercent,acceptance,tuition,gpa,enrollment,SAT,costAfterAid,type,academicCalendar,setting,website
University of Wisconsin--Milwaukee,University of Wisconsin Milwaukee,WI,Milwaukee,,#293-#381,20,,88,20867,3.2,20256,,,Public,Semester,Urban,http://www.uwm.edu
Covenant College,,GA,Lookout Mountain,https://www.usnews.com/dims4/USNEWS/a7c227d/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd0%2F096ec6c83575373e3a21d129ff8fef%2F4.jpg,#148,23,,97,35640,3.7,1002,1120,,Private,Semester,Suburban,http://www.covenant.edu
St. Joseph  New York,St Joseph  New York Saint Joseph  New York St Josephs College New York Saint Josephs College New York St. Josephs College New York,NY,Brooklyn,https://www.usnews.com/dims4/USNEWS/95db638/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F37%2F03728be728ab8760f0f5e56c201c46%2Fcollege-photo_28482.jpg,#59,21,,73,29200,3.4,4091,1020,,Private,Semester,Urban,http://www.sjcny.edu
University of Guam,,GU,Mangilao,https://www.usnews.com/dims4/USNEWS/e2686a6/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F35%2F32c93e1070afcb8d65f0367ead5361%2Fcollege-photo_10965.jpg,Unranked,,,93,12860,3.2,3421,,,,,,hi
Granite State College,,NH,Concord,https://www.usnews.com/dims4/USNEWS/115c407/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F44%2F54143dd243fbd4f9ff4977f681089b%2Fcollege-photo_24722.jpg,Unranked,,,100,10875,,1736,,,Public,Trimester,Suburban,http://www.granite.edu
Wheaton College,,IL,Wheaton,https://www.usnews.com/dims4/USNEWS/88a67eb/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa3%2F78798d9d94c5469b5878862d90180c%2Fcollege-photo_6272.jpg,#58,27,57,83,37700,3.7,2401,1210,27607,Private,Semester,Suburban,http://www.wheaton.edu
Rust College,,MS,Holly Springs,https://www.usnews.com/dims4/USNEWS/df68e92/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F38%2Fceba2ada8cb98ede137658fd7d541f%2Fcollege-photo_8001.jpg,#164-#215,14,,53,9900,2.7,846,,,Private,Semester,Rural,http://www.rustcollege.edu
Stevenson University,,MD,Stevenson,https://www.usnews.com/dims4/USNEWS/261b101/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fe5%2Fd2ab5f65128b849ade121db3b0a116%2Fcollege-photo_15217.jpg,#75,19,74,73,37082,3.1,3113,1030,30630,Private,Semester,Suburban,http://www.stevenson.edu/
Holy Apostles College and Seminary,,CT,Cromwell,,Unranked,,,,10840,,,,,Private,Semester,Suburban,http://www.holyapostles.edu/
Hobart and William Smith Colleges,HWS,NY,Geneva,https://www.usnews.com/dims4/USNEWS/2ad339a/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F8b%2Fcc%2Fc342b73c46b985b332aa0974789c%2F190827hobart-and-william-smith-colleges11.jpeg,#72,27,66,57,57058,3.4,2229,1203,33597,Private,Semester,City,http://www.hws.edu
